TimeStamp,V10_0,V10_1,V10_2,V10_3,V10_4,V10_5,V50_0,V50_1,V50_2,V50_3,V50_4,V50_5,V100_0,V100_1,V100_2,V100_3,V100_4,V100_5,V200_0,V200_1,V200_2,V200_3,V200_4,V200_5,V250_0,V250_1,V250_2,V250_3,V250_4,V250_5
15,0.000115128,-0.927168835,-0.599816886,-0.273405893,0.000267541,4.35E-13,0.003367668,-0.949983738,-0.704165808,-0.275014843,0.000304709,1.07E-11,0.016537876,-0.959217756,-0.867468089,-0.273666969,0.000395712,4.06E-11,-0.007127253,-0.541602177,-0.676759184,-0.365716379,6.10E-05,0.000445804,-0.015208595,-0.383517671,-0.544130014,-0.413120977,-0.000143883,0.000668706
16,0.000115994,-0.927980063,-0.604463694,-0.273404832,0.000269107,4.35E-13,0.003459026,-0.951227741,-0.723914501,-0.274872883,0.000312786,1.06E-11,0.016893129,-0.946872697,-0.88797882,-0.272379367,0.000413001,4.02E-11,-0.01450961,-0.501929998,-0.678262121,-0.367905115,6.81E-05,0.000445804,-0.027518571,-0.329966828,-0.545280847,-0.417375552,-0.000139919,0.000668705
17,0.000116856,-0.928771354,-0.609087222,-0.273403766,0.000270674,4.35E-13,0.003546734,-0.951875118,-0.742934036,-0.274728268,0.000320861,1.06E-11,0.017171013,-0.931591094,-0.904751784,-0.27108414,0.000430171,3.98E-11,-0.02051811,-0.468131194,-0.677495175,-0.370265514,7.37E-05,0.000445804,-0.036715727,-0.288284663,-0.544087236,-0.42151536,-0.000137316,0.000668705
18,0.000117713,-0.929542562,-0.613687244,-0.273402694,0.00027224,4.34E-13,0.003630669,-0.951911402,-0.761201236,-0.274581174,0.000328933,1.05E-11,0.006827364,-0.760685046,-0.792516409,-0.31856156,0.000236217,0.000222902,-0.025142162,-0.441074014,-0.675662218,-0.372444323,7.78E-05,0.000445804,-0.042830952,-0.259645116,-0.542286335,-0.424739476,-0.000135687,0.000668705
19,0.000118566,-0.930293545,-0.618263538,-0.273401616,0.000273806,4.34E-13,0.003710708,-0.951322798,-0.778693837,-0.274431779,0.000337002,1.05E-11,0.003214766,-0.734384737,-0.801552777,-0.318523305,0.000247601,0.000222902,-0.028400078,-0.421404262,-0.673701175,-0.374174663,8.07E-05,0.000445804,-0.045936369,-0.244786341,-0.541052351,-0.426526119,-0.000134877,0.000668705
20,0.000119413,-0.931024159,-0.622815879,-0.273400533,0.000275372,4.33E-13,0.003786734,-0.950096198,-0.795390523,-0.274280262,0.000345067,1.04E-11,-0.000136028,-0.7085537,-0.807263779,-0.318843614,0.000257641,0.000222902,-0.030318998,-0.409565122,-0.672279199,-0.375271614,8.25E-05,0.000445804,-1.03E-17,-0.732152089,-0.933658791,-0.273302323,0.000518506,0
21,0.000120256,-0.931734262,-0.627344045,-0.273399444,0.000276938,4.33E-13,0.003858632,-0.948219204,-0.811270948,-0.274126806,0.000353128,1.04E-11,-0.003186197,-0.683749909,-0.810344004,-0.319420277,0.000266464,0.000222902,-0.005797171,-0.670968985,-0.884563977,-0.292486322,0.000436857,8.36E-05,-1.03E-17,-0.732152089,-0.933658791,-0.273302323,0.000518506,0
22,0.000121094,-0.932423714,-0.631847817,-0.27339835,0.000278504,4.33E-13,0.003926295,-0.945680139,-0.826315758,-0.273971598,0.000361184,1.03E-11,-0.005910684,-0.660471103,-0.811432172,-0.320160791,0.000274168,0.000222902,-7.02E-20,-0.732152089,-0.933658791,-0.273302323,0.000518506,0,-1.03E-17,-0.732152089,-0.933658791,-0.273302323,0.000518506,0
23,0.000121927,-0.933092374,-0.636326975,-0.27339725,0.00028007,4.32E-13,0.003989617,-0.942468069,-0.840506621,-0.273814826,0.000369236,1.03E-11,-0.008295296,-0.639154068,-0.811103924,-0.320983319,0.000280823,0.000222902,-7.02E-20,-0.732152089,-0.933658791,-0.273302323,0.000518506,0,-1.03E-17,-0.732152089,-0.933658791,-0.273302323,0.000518506,0
24,0.000122756,-0.933740102,-0.6407813,-0.273396145,0.000281636,4.32E-13,0.004048499,-0.938572817,-0.853826243,-0.273656678,0.000377282,1.02E-11,-0.010333973,-0.620175222,-0.80986709,-0.321817094,0.000286479,0.000222902,-7.02E-20,-0.732152089,-0.933658791,-0.273302323,0.000518506,0,-1.03E-17,-0.732152089,-0.933658791,-0.273302323,0.000518506,0
25,0.000123579,-0.93436676,-0.645210575,-0.273395034,0.000283202,4.32E-13,0.004102846,-0.933984975,-0.866258396,-0.273497347,0.000385321,1.02E-11,-0.012026309,-0.603852073,-0.808158859,-0.322602414,0.000291171,0.000222902,-7.02E-20,-0.732152089,-0.933658791,-0.273302323,0.000518506,0,-0.001649544,-0.754531926,-0.935524419,-0.270627517,0.000715762,-0.007209071
26,0.000124397,-0.934972211,-0.649614585,-0.273393919,0.000284768,4.31E-13,0.004152567,-0.928695923,-0.877787929,-0.273337027,0.000393355,1.01E-11,-0.013375368,-0.590445185,-0.806344333,-0.323290384,0.00029492,0.000222902,-3.47E-05,-0.732622853,-0.933698037,-0.273246097,0.000522651,-0.000151542,-0.011502582,-0.887972296,-0.946606946,-0.254582215,0.001901728,-0.050398549
27,0.00012521,-0.935556317,-0.653993114,-0.273392798,0.000286334,4.31E-13,0.004197578,-0.922697837,-0.888400794,-0.273175911,0.000401382,1.01E-11,-0.014385859,-0.580160297,-0.804716026,-0.323842517,0.000297738,0.000222902,-0.003649534,-0.781606777,-0.937779893,-0.267381504,0.000955456,-0.015955211,-0.029802725,-1.138566254,-0.966761578,-0.223750918,0.004195482,-0.132555976
28,0.000126018,-0.936118944,-0.658345951,-0.273391672,0.0002879,4.30E-13,0.004237799,-0.915983705,-0.89808406,-0.273014196,0.000409401,1.00E-11,-0.015062647,-0.573150363,-0.803493923,-0.324230302,0.000299633,0.000222902,-0.013145383,-0.910054021,-0.94839599,-0.251833683,0.002107397,-0.057737513,-0.054433273,-1.499086133,-0.992115566,-0.176623936,0.007746882,-0.253681349
29,0.000126821,-0.936659955,-0.662672882,-0.273390541,0.000289466,4.30E-13,0.004273156,-0.908547332,-0.906825929,-0.272852078,0.000417413,9.99E-12,-0.015409648,-0.569517268,-0.802825798,-0.324434803,0.000300606,0.000222902,-0.028049062,-1.11484942,-0.964579884,-0.226271493,0.004017451,-0.125498447,-0.038293939,-1.323422284,-0.967298292,-0.189398587,0.006991115,-0.207829053
30,0.000127619,-0.937179218,-0.666973696,-0.273389405,0.000291032,4.30E-13,0.00430358,-0.900383358,-0.914615751,-0.272689754,0.000425418,9.94E-12,-7.02E-20,-0.732152089,-0.933658791,-0.273302323,0.000518506,0,-0.028918553,-1.140124683,-0.963173015,-0.219915146,0.004564029,-0.138552707,-0.030847489,-1.273689282,-0.948460646,-0.183235491,0.007711795,-0.207829042
31,0.000128411,-0.937676599,-0.671248185,-0.273388264,0.000292598,4.29E-13,0.004329009,-0.89148726,-0.921444034,-0.272527422,0.000433414,9.90E-12,-7.02E-20,-0.732152089,-0.933658791,-0.273302323,0.000518506,0,-0.025851161,-1.113897304,-0.955624298,-0.217610112,0.004862691,-0.138552703,-0.022478959,-1.207529844,-0.922843701,-0.175129246,0.008668496,-0.207829031
32,0.000129199,-0.938151966,-0.675496139,-0.273387117,0.000294164,4.29E-13,0.004349385,-0.881855362,-0.927302461,-0.27236528,0.000441401,9.85E-12,-7.02E-20,-0.732152089,-0.933658791,-0.273302323,0.000518506,0,-0.021928439,-1.077481244,-0.944947005,-0.214427098,0.005277054,-0.138552697,-0.014501018,-1.124698467,-0.889863593,-0.165157631,0.009859739,-0.20782902
33,0.00012998,-0.938605187,-0.679717352,-0.273385966,0.00029573,4.29E-13,0.004364657,-0.871484845,-0.932183895,-0.272203525,0.00044938,9.80E-12,-7.02E-20,-0.732152089,-0.933658791,-0.273302323,0.000518506,0,-0.017468994,-1.030723193,-0.930904057,-0.210373826,0.005808119,-0.138552691,-0.008621134,-1.025109677,-0.848842456,-0.153480862,0.011276771,-0.207829014
34,0.000130757,-0.939036134,-0.683911619,-0.27338481,0.000297296,4.28E-13,0.004374781,-0.860373748,-0.936082391,-0.272042354,0.00045735,9.75E-12,-7.02E-20,-0.732152089,-0.933658791,-0.273302323,0.000518506,0,-0.012899897,-0.97347779,-0.913201064,-0.20547052,0.006456007,-0.138552684,-0.006914289,-0.908984228,-0.799041754,-0.140379571,0.012899633,-0.207829014
35,0.000131528,-0.939444676,-0.688078734,-0.27338365,0.000298862,4.28E-13,0.004379716,-0.848520976,-0.938993202,-0.271881964,0.00046531,9.71E-12,-0.001094726,-0.746995019,-0.934896149,-0.271527135,0.000649458,-0.004784398,-0.008764304,-0.905644811,-0.891492622,-0.199757247,0.007219174,-0.138552679,0.035526697,0.411895241,-0.759497993,-0.346064733,-0.001590418,0.207829046
36,0.000132294,-0.939830685,-0.692218494,-0.273382484,0.000300428,4.27E-13,0.003681297,-0.826288563,-0.932912923,-0.274784799,0.00046,1.39E-05,-0.005124347,-0.801394382,-0.939421375,-0.264975308,0.001134165,-0.02242822,-0.005722443,-0.827214805,-0.865390428,-0.193302499,0.008093494,-0.138552676,0.027776451,0.480841969,-0.771256864,-0.357921738,-0.002339688,0.207829036
37,0.000133054,-0.940194035,-0.696330699,-0.273381314,0.000301994,4.27E-13,-0.002202178,-0.743850691,-0.877866295,-0.296514544,0.000373555,0.000111451,-0.012040096,-0.894545606,-0.947054333,-0.253543767,0.001985418,-0.053061359,-0.004540887,-0.738322997,-0.834473468,-0.186212698,0.009071293,-0.138552675,0.024450975,0.53778115,-0.779779549,-0.367511244,-0.002949145,0.207829033
38,0.000133809,-0.940534598,-0.700415147,-0.273380139,0.00030356,4.27E-13,-0.00313156,-0.729677236,-0.878127599,-0.296787866,0.000379609,0.000111451,-0.021517749,-1.024188031,-0.957118913,-0.237004605,0.003230497,-0.096683813,0.026500709,0.165775525,-0.793479137,-0.318535265,-8.19E-05,0.138552701,0.023841599,0.583009262,-0.785759678,-0.374966987,-0.003423436,0.207829034
