TimeStamp,W01,W02,W03,W1_0,W1_1,W1_2,W1_3,W1_4,W1_5,W2_0,W2_1,W2_2,W2_3,W2_4,W2_5,W3_0,W3_1,W3_2,W3_3,W3_4,W3_5
72,-0.318498433,-0.295002908,-0.315822214,-0.318498433,1.53461194,1.122684121,0.445971847,0.037189201,-0.018133597,-0.295002908,1.728070617,1.359478116,0.74378252,-0.076462612,-0.011118664,-0.315822214,2.104284763,1.515737176,1.054320931,-0.14672783,0.076732956
73,-0.316188276,-0.308910906,-0.292566091,-0.316188276,1.534853339,1.094383121,0.472123295,0.017022071,0.023163838,-0.308910906,1.768562436,1.334672332,0.700501442,-0.083600521,-0.008510508,-0.292566091,2.053870201,1.567048073,1.16373384,-0.110440433,0.104814366
74,-0.325596988,-0.289768398,-0.294582874,-0.325596988,1.534709692,1.099305153,0.483943522,0.043122306,0.052659079,-0.289768398,1.722474098,1.285810471,0.732746542,-0.089721054,0.036784165,-0.294582874,2.017921686,1.588853598,1.119466782,-0.163435176,0.126710981
75,-0.326058596,-0.30748859,-0.267991066,-0.326058596,1.514932394,1.14152813,0.438924253,0.022555901,0.077793576,-0.30748859,1.716912866,1.297787309,0.748303473,-0.05233217,0.064268745,-0.267991066,1.952209473,1.513876677,1.094341397,-0.120188102,0.077480011
76,-0.321368277,-0.309443295,-0.282462895,-0.321368277,1.498195767,1.107979655,0.43033886,0.050955154,0.106434286,-0.309443295,1.69993341,1.329978466,0.73257494,-0.054212015,0.102963351,-0.282462895,1.916890144,1.506400943,1.097953558,-0.072851695,0.042837128
77,-0.282099783,-0.313094795,-0.328435659,-0.282099783,1.480323911,1.092356801,0.423998624,0.108092241,0.086688623,-0.313094795,1.694574594,1.32558322,0.668877602,-0.016335882,0.108143546,-0.328435659,1.93648386,1.478075266,1.126483083,-0.142219588,0.061613426
78,-0.309639633,-0.305225968,-0.341771454,-0.309639633,1.535481691,1.116110802,0.431165338,0.036525138,0.09093371,-0.305225968,1.689223766,1.32762897,0.707216859,-0.011004396,0.078655653,-0.341771454,1.950507879,1.539190531,1.169404745,-0.115107425,0.085007936
79,-0.304498881,-0.313821107,-0.320243686,-0.304498881,1.550344229,1.089624643,0.437134981,0.058942717,0.105006501,-0.313821107,1.734772682,1.325212836,0.68670845,-0.037155408,0.081379928,-0.320243686,1.992085218,1.575596571,1.096835256,-0.100445613,0.127896219
80,-0.311037332,-0.241352051,-0.315624297,-0.311037332,1.533955097,1.042025805,0.496209025,0.095849305,0.124946818,-0.241352051,1.750457406,1.264876366,0.693279147,-0.008548209,0.118658438,-0.315624297,1.949862719,1.563678384,1.054429173,0.004237344,0.126489699
81,-0.30426538,-0.296606004,-0.295823336,-0.30426538,1.55439949,1.086223602,0.484046102,0.112562284,0.122420751,-0.296606004,1.756305814,1.300019503,0.769784629,-0.029950606,0.123933181,-0.295823336,1.879685283,1.500037789,1.168989062,-0.063771464,0.082282111
82,-0.31628269,-0.335885197,-0.326395988,-0.31628269,1.440840721,1.040635705,0.472819626,0.087542363,0.070408903,-0.335885197,1.751166463,1.28883934,0.742132127,0.018714674,0.140463814,-0.326395988,1.883570671,1.452154636,1.128311634,-0.09488079,0.072368108
83,-0.319031417,-0.292492688,-0.273517013,-0.319031417,1.41291368,1.055839181,0.47470808,0.100169942,0.075617686,-0.292492688,1.632108212,1.241728425,0.721064329,0.030768376,0.097186305,-0.273517013,1.858571887,1.532140851,1.137583852,-0.045693375,0.084296897
84,-0.312086374,-0.304674089,-0.303768784,-0.312086374,1.453772068,1.033188105,0.445150316,0.085457258,0.067825928,-0.304674089,1.606493592,1.25006032,0.767641604,0.015164817,0.078562751,-0.303768784,1.83534956,1.498782873,1.129353642,0.006097421,0.105014376
85,-0.313026965,-0.312955201,-0.293572456,-0.313026965,1.434722424,1.045579791,0.480597466,0.088826105,0.112004027,-0.312955201,1.679002523,1.210290551,0.716748476,0.006353986,0.098651484,-0.293572456,1.822369218,1.469495177,1.144542694,-0.02376378,0.123037718
86,-0.302039325,-0.323391497,-0.295338333,-0.302039325,1.460523129,1.03669703,0.428370416,0.104946733,0.131157607,-0.323391497,1.654277921,1.266073346,0.730619669,0.037120074,0.133347273,-0.295338333,1.85987711,1.380792975,1.175223947,-0.003818903,0.12766546
87,-0.290982723,-0.313735664,-0.333907157,-0.290982723,1.418837905,1.004846811,0.440692812,0.104238905,0.126859814,-0.313735664,1.658612132,1.26303637,0.723598778,0.02003099,0.143965691,-0.333907157,1.952966928,1.420789957,1.138010502,-0.022825006,0.101602532
88,-0.303941667,-0.314897954,-0.335600436,-0.303941667,1.417022347,1.052053213,0.463986576,0.12664488,0.080793731,-0.314897954,1.61272192,1.234559417,0.726141989,0.062025569,0.132330284,-0.335600436,1.923456907,1.447543025,1.122055173,0.037812591,0.08354824
89,-0.326135039,-0.307519972,-0.334324092,-0.326135039,1.414351821,1.049001217,0.483111858,0.108243957,0.103323139,-0.307519972,1.603077888,1.20755291,0.745568395,0.041600179,0.089092843,-0.334324092,1.767229915,1.418927908,1.236120224,-0.01115426,0.092327669
90,-0.314334959,-0.311514825,-0.339965284,-0.314334959,1.382204652,1.0078758,0.471424401,0.111934349,0.110246249,-0.311514825,1.576977372,1.238929987,0.767622054,0.040047351,0.130727559,-0.339965284,1.75916481,1.4257586,1.072762489,-0.005814094,0.11064893
91,-0.305597842,-0.272896439,-0.31902644,-0.305597842,1.331673265,0.99477458,0.459480882,0.08376909,0.134741709,-0.272896439,1.575659871,1.222973704,0.756595373,0.031418584,0.12667872,-0.31902644,1.798804641,1.354094625,1.065289259,0.100988805,0.127054796
92,-0.279598773,-0.276200473,-0.351982206,-0.279598773,1.35073781,0.982788265,0.436100274,0.150887713,0.137854785,-0.276200473,1.524785399,1.228787065,0.7347157,0.044323228,0.144990548,-0.351982206,1.824893951,1.397870779,1.214842558,0.042412143,0.091987818
93,-0.290926397,-0.253615439,-0.303665161,-0.290926397,1.422700882,0.960781991,0.418311834,0.153172478,0.111405797,-0.253615439,1.538484097,1.191569805,0.713625312,0.100161478,0.146725044,-0.303665161,1.83828187,1.426881552,1.202241898,0.038698718,0.086443737
94,-0.312785,-0.298700988,-0.307945609,-0.312785,1.435740232,0.99012959,0.446691811,0.097050399,0.115670569,-0.298700988,1.593725562,1.148536563,0.743996978,0.108514532,0.114850663,-0.307945609,1.751557946,1.391048908,1.192415714,0.107458636,0.093294792
95,-0.303114414,-0.343181521,-0.313436478,-0.303114414,1.394486427,1.00031805,0.46672523,0.114834294,0.096406654,-0.343181521,1.624254823,1.190359473,0.761261523,0.077138923,0.110609971,-0.313436478,1.78211689,1.378485441,1.171014071,0.070237473,0.107002385
96,-0.331858665,-0.302135706,-0.316134185,-0.331858665,1.360327244,0.94237107,0.49083513,0.151694953,0.129091054,-0.302135706,1.585900307,1.20260632,0.747175455,0.092020124,0.141142398,-0.316134185,1.783597708,1.343474746,1.1485219,0.133730456,0.109391928
97,-0.354419947,-0.278786004,-0.332812726,-0.354419947,1.303798437,0.96169591,0.465269089,0.191007107,0.132636577,-0.278786004,1.506819487,1.196721673,0.76428175,0.081894092,0.139113531,-0.332812726,1.730226994,1.388489127,1.206252813,0.079997048,0.119584426
