time,_id,timestamp,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_qd_0,target_qd_1,target_qd_2,target_qd_3,target_qd_4,target_qd_5,target_qdd_0,target_qdd_1,target_qdd_2,target_qdd_3,target_qdd_4,target_qdd_5,target_current_0,target_current_1,target_current_2,target_current_3,target_current_4,target_current_5,target_moment_0,target_moment_1,target_moment_2,target_moment_3,target_moment_4,target_moment_5,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,actual_current_0,actual_current_1,actual_current_2,actual_current_3,actual_current_4,actual_current_5,joint_control_output_0,joint_control_output_1,joint_control_output_2,joint_control_output_3,joint_control_output_4,joint_control_output_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_TCP_speed_0,actual_TCP_speed_1,actual_TCP_speed_2,actual_TCP_speed_3,actual_TCP_speed_4,actual_TCP_speed_5,actual_TCP_force_0,actual_TCP_force_1,actual_TCP_force_2,actual_TCP_force_3,actual_TCP_force_4,actual_TCP_force_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5,target_TCP_speed_0,target_TCP_speed_1,target_TCP_speed_2,target_TCP_speed_3,target_TCP_speed_4,target_TCP_speed_5,actual_digital_input_bits,joint_temperatures_0,joint_temperatures_1,joint_temperatures_2,joint_temperatures_3,joint_temperatures_4,joint_temperatures_5,actual_execution_time,robot_mode,joint_mode_0,joint_mode_1,joint_mode_2,joint_mode_3,joint_mode_4,joint_mode_5,safety_mode,actual_tool_accelerometer_0,actual_tool_accelerometer_1,actual_tool_accelerometer_2,speed_scaling,target_speed_fraction,actual_momentum,actual_main_voltage,actual_robot_voltage,actual_robot_current,actual_joint_voltage_0,actual_joint_voltage_1,actual_joint_voltage_2,actual_joint_voltage_3,actual_joint_voltage_4,actual_joint_voltage_5,actual_digital_output_bits,runtime_state,payload,payload_cog_0,payload_cog_1,payload_cog_2,script_control_line,output_bit_registers0_to_31,output_bit_registers32_to_63,output_int_register_0,output_int_register_1,output_int_register_2,output_int_register_3,output_int_register_4,output_int_register_5,output_int_register_6,output_int_register_7,output_int_register_8,output_int_register_9,output_int_register_10,output_int_register_11,output_int_register_12,output_int_register_13,output_int_register_14,output_int_register_15,output_int_register_16,output_int_register_17,output_int_register_18,output_int_register_19,output_int_register_20,output_int_register_21,output_int_register_22,output_int_register_23,output_double_register_0,output_double_register_1,output_double_register_2,output_double_register_3,output_double_register_4,output_double_register_5,output_double_register_6,output_double_register_7,output_double_register_8,output_double_register_9,output_double_register_10,output_double_register_11,output_double_register_12,output_double_register_13,output_double_register_14,output_double_register_15,output_double_register_16,output_double_register_17,output_double_register_18,output_double_register_19,output_double_register_20,output_double_register_21,output_double_register_22,output_double_register_23
1,2021:10:05:12:08:18.482371,1550309.89,-0.938107879,-1.384980191,-1.58569358,2.949133687,0.685515988,12.62667485,0.188842036,-0.449326942,0.306487513,0.137834097,0.259488168,0.000653963,-0.88022729,2.094395102,-1.428594387,-0.642469948,-1.209521835,-0.003048241,0.267123735,0.164276602,1.202887239,-0.12063452,0.193086761,0.01299873,-1.074520477,6.592823755,6.927361786,-1.365972125,0.017298168,-0.000216905,-0.938176934,-1.38482757,-1.585781813,2.949031516,0.685403705,12.62669681,0.186383337,-0.448718607,0.308262527,0.132796451,0.272610933,0.000954023,0.281242698,0.007227533,1.171027541,-0.077602789,0.146630377,0.125454769,0.267123735,0.164276602,1.202887239,-0.12063452,0.193086761,0.01299873,-0.25065358,-0.196318321,0.346121268,1.140595013,-1.255744026,-1.221904246,0.106271063,-0.071095325,-0.007342079,0.002120855,0.008493982,-0.086049719,-75.50226455,8.697534677,3.945866111,0.041032992,0.008626153,0.100944786,-0.250613755,-0.196342384,0.346109091,1.140582259,-1.255795811,-1.221919491,0.106865888,-0.075240081,-0.008297199,0.000459499,0.006679013,-0.070463638,0,34.5,35.75,37.8125,40.9375,43,42.9375,0.86526,7,253,253,253,253,253,253,1,-0.076614454,9.500192642,0.900219798,1,1,0.839876998,47.8158493,47.90719986,0.860510886,47.71392822,47.59926605,47.84292221,47.5132637,47.77125931,47.45593262,0,2,1.07,0,0,0.058,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2021:10:05:12:08:18.522353,1550309.93,-0.931258379,-1.401277752,-1.574576955,2.954133075,0.694927897,12.62669857,0.153632945,-0.365551138,0.249343738,0.112135299,0.211107294,0.000532033,-0.88022729,2.094395102,-1.428594387,-0.642469948,-1.209521835,-0.003048241,0.250783465,0.213043277,1.18859155,-0.130776039,0.185514733,0.010564386,-1.08696202,6.834911281,6.936470904,-1.383480055,0.01458196,-0.000217081,-0.931287114,-1.40103978,-1.574819446,2.95405118,0.694816589,12.62672073,0.150990218,-0.369552791,0.255370706,0.111783653,0.215503842,0.000507136,0.286125213,0.107990295,1.109657288,-0.111566782,0.172065958,0.111113437,0.250783465,0.213043277,1.18859155,-0.130776039,0.185514733,0.010564386,-0.246757905,-0.199020707,0.345778633,1.139166834,-1.257296745,-1.223926415,0.088198812,-0.059461203,-0.007825005,-0.001060878,0.004554421,-0.064379409,-75.58843177,9.321274446,3.968519556,0.033317886,0.006390771,0.07878634,-0.246712453,-0.199052292,0.345776051,1.139128403,-1.257417171,-1.223929123,0.088066361,-0.060348553,-0.008190472,0.000318494,0.005477173,-0.057338995,0,34.5,35.75,37.8125,40.9375,43,42.9375,0.860568,7,253,253,253,253,253,253,1,0.019153614,9.538499832,0.900219798,1,1,0.685807455,47.82838821,47.92779922,0.838131368,47.71392822,47.58493042,47.82859039,47.52759933,47.78559113,47.48460007,0,2,1.07,0,0,0.058,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2021:10:05:12:08:18.562365,1550309.97,-0.925817243,-1.414224282,-1.565746081,2.958104511,0.702404572,12.62671741,0.118423853,-0.281775334,0.192199962,0.086436501,0.162726421,0.000410104,-0.88022729,2.094395102,-1.428594387,-0.642469948,-1.209521835,-0.003048241,0.234664342,0.257616024,1.174073186,-0.13984056,0.178044019,0.008130052,-1.097047891,7.030130857,6.943893874,-1.397110051,0.012250596,-0.00021722,-0.925874058,-1.414142953,-1.565986156,2.958036585,0.702258766,12.62672081,0.11810828,-0.282819569,0.1958801,0.086737625,0.173696086,0.000659208,0.301559031,0.25186938,1.207692862,-0.146359578,0.182645813,0.111459769,0.234664342,0.257616024,1.174073186,-0.13984056,0.178044019,0.008130052,-0.243610942,-0.201172478,0.345464631,1.138043852,-1.258454502,-1.225652191,0.068881662,-0.043566937,-0.007014342,-0.002552021,0.002707959,-0.055483297,-75.69372006,8.47370905,3.646069359,0.040139298,0.000600371,0.125680834,-0.243577851,-0.201177154,0.345465675,1.137969422,-1.258704734,-1.225524743,0.068561034,-0.045972757,-0.007197244,0.000211244,0.004248357,-0.044206235,0,34.5,35.75,37.8125,40.9375,43,42.9375,0.84642,7,253,253,253,253,253,253,1,-0.268150568,9.883264542,0.67037648,1,1,0.530631756,47.82480621,47.90719986,0.766510427,47.68526077,47.58493042,47.84292221,47.49893188,47.77125931,47.47026825,0,2,1.07,0,0,0.058,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2021:10:05:12:08:18.602299,1550310.01,-0.921784471,-1.423819779,-1.559200958,2.961047995,0.707946011,12.62673138,0.083214762,-0.19799953,0.135056187,0.060737703,0.114345547,0.000288174,-0.88022729,2.094395102,-1.428594387,-0.642469948,-1.209521835,-0.003048241,0.218782773,0.297619612,1.159315835,-0.147786026,0.170586257,0.005695735,-1.104602852,7.174104504,6.94950718,-1.406710679,0.009968434,-0.000217297,-0.921900574,-1.423617722,-1.559232831,2.960992976,0.707861066,12.62669658,0.085985035,-0.204528764,0.135720938,0.067499429,0.115643814,0.000305961,0.284169078,0.198691294,1.137963176,-0.14740023,0.159892306,0.12225496,0.218782773,0.297619612,1.159315835,-0.147786026,0.170586257,0.005695735,-0.24128661,-0.202692292,0.345219431,1.137105963,-1.259762887,-1.226656772,0.050213359,-0.033851171,-0.006653108,-0.000607636,0.00246406,-0.029582296,-75.79168208,9.061604859,3.787574551,0.037006073,0.002086625,0.103775927,-0.241234644,-0.202735677,0.345209414,1.137108103,-1.259658797,-1.226706889,0.048524885,-0.03201375,-0.005518413,0.000130445,0.00299895,-0.03106725,0,34.5,35.75,37.8125,40.9375,43,42.9375,0.849372,7,253,253,253,253,253,253,1,0.057460841,9.653421402,0.689530134,1,1,0.374605906,47.82032776,47.91884232,0.809033692,47.71392822,47.59926605,47.81425476,47.55626297,47.81425476,47.49893188,0,2,1.07,0,0,0.058,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2021:10:05:12:08:18.643227,1550310.05,-0.919160062,-1.430064244,-1.554941586,2.962963527,0.711552216,12.62674047,0.04800567,-0.114223725,0.077912411,0.035038905,0.065964674,0.000166244,-0.88022729,2.094395102,-1.428594387,-0.642469948,-1.209521835,-0.003048241,0.203141983,0.333384333,1.144272458,-0.154942525,0.163442941,0.003261418,-1.109592215,7.270430209,6.952954645,-1.413470483,0.008880702,-0.000217373,-0.919153039,-1.430043907,-1.554986477,2.96292512,0.711480975,12.62673258,0.050307658,-0.11300882,0.081326813,0.035594326,0.072347037,0.000287797,0.205862075,0.254175007,1.105427146,-0.133434743,0.134603888,0.126998678,0.203141983,0.333384333,1.144272458,-0.154942525,0.163442941,0.003261418,-0.23970594,-0.203753844,0.345034597,1.1366011,-1.260168455,-1.227478368,0.02866945,-0.017347183,-0.003227582,-0.004260833,-0.001296276,-0.021997804,-75.55311909,9.026024713,3.816599635,0.040430363,0.004546053,0.106980052,-0.239700736,-0.203742295,0.34503064,1.136546518,-1.260279569,-1.227475976,0.028122835,-0.018357518,-0.003356758,6.85E-05,0.00173518,-0.017923908,0,34.5,35.75,37.8125,40.9375,43,42.9375,0.847668,7,253,253,253,253,253,253,1,-0.038307227,9.730035782,0.957680702,1,1,0.217982954,47.7943573,47.90003586,0.800085008,47.67092896,47.55626297,47.81425476,47.52759933,47.77125931,47.47026825,0,2,1.07,0,0,0.058,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2021:10:05:12:08:18.682079,1550310.09,-0.917944017,-1.432957677,-1.552967965,2.963851108,0.713223185,12.62674468,0.012796578,-0.030447921,0.020768636,0.009340107,0.017583801,4.43E-05,-0.88022729,2.094395102,-1.428594387,-0.642469948,-1.209521835,-0.003048241,0.18775011,0.364620664,1.12900003,-0.17624506,0.156395555,0.000827114,-1.111929054,7.315768583,6.954667684,-1.416460969,0.008157368,-0.000217397,-0.917965714,-1.432927267,-1.553061247,2.963852091,0.713189006,12.62676856,0.014605355,-0.032701734,0.022180829,0.01264202,0.018748773,0.000224418,0.193475321,0.279130936,1.126541257,-0.158477664,0.164033532,0.119791076,0.18775011,0.364620664,1.12900003,-0.17624506,0.156395555,0.000827114,-0.238998788,-0.204201564,0.344940171,1.136282301,-1.260516779,-1.227858716,0.008368035,-0.005646164,-0.0014091,-0.00212993,-0.001004456,-0.004124208,-75.77138575,9.149189606,3.607584432,0.037777946,-0.004291776,0.10733454,-0.238987593,-0.204206659,0.344944592,1.136286017,-1.260567182,-1.22783228,0.007512419,-0.004879635,-0.000916201,1.74E-05,0.000463167,-0.004778059,0,34.5,35.75,37.8125,40.9375,43,42.9375,0.780277,7,253,253,253,253,253,253,1,-0.019153614,9.806650162,0.689530134,1,1,0.061013738,47.83824158,47.93495941,0.822464585,47.69959641,47.59926605,47.84292221,47.58493042,47.81425476,47.54193115,0,2,1.07,0,0,0.058,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2021:10:05:12:08:18.723013,1550310.13,-0.917851,-1.433179,-1.552817,2.963919,0.713351,12.626745,0,0,0,0,0,0,0,0,0,0,0,0,1.39E-17,0.486076564,0.957275142,-0.346053405,0.008156632,0,1.47E-16,5.26338826,7.248686964,-1.246030605,0.030983274,0,-0.917922799,-1.433119134,-1.552936792,2.9638478,0.71326673,12.62673253,-0.000164716,-4.39E-11,0.000708958,-0.000248769,0.000296919,0.000150404,0.106436297,0.382041365,1.055404663,-0.273335427,0.060784664,0.111648537,1.39E-17,0.486076564,0.957275142,-0.346053405,0.008156632,0,-0.238962962,-0.204226908,0.344944075,1.136299157,-1.260465487,-1.227972774,-2.07E-05,0.000100226,7.64E-05,-0.000518827,-0.000266756,-0.000459778,-76.353937,9.698784736,4.242945103,0.035399348,0.012359108,0.087978898,-0.238932982,-0.204242125,0.344937926,1.136266084,-1.260589181,-1.227859533,0,0,0,0,0,0,0,34.5,35.75,37.8125,40.9375,43,42.9375,0.617953,7,253,253,253,253,253,253,1,0.344765037,9.576807022,0.229843363,0,1,0,47.80689621,47.88928604,0.804562032,47.69959641,47.59926605,47.82859039,47.57059479,47.82859039,47.5132637,0,1,1.07,0,0,0.058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2021:10:05:12:08:18.762089,1550310.17,-0.917851,-1.433179,-1.552817,2.963919,0.713351,12.626745,0,0,0,0,0,0,0,0,0,0,0,0,1.78E-17,0.486071146,0.957289959,-0.346017837,0.008134703,0,1.89E-16,5.263329597,7.248799158,-1.245902533,0.030899974,0,-0.917910878,-1.433191137,-1.552973032,2.963823481,0.713290513,12.62676851,-1.22E-06,0,0.000837312,-1.22E-11,0.000154517,8.55E-05,0.178080961,0.333350331,1.113959312,-0.241529107,0.098773181,0.107927315,1.78E-17,0.486071146,0.957289959,-0.346017837,0.008134703,0,-0.238954025,-0.204232051,0.344945027,1.136281321,-1.260377936,-1.228069039,2.67E-05,5.51E-06,4.23E-05,-0.00075127,-0.00050257,-0.000154243,-75.92370243,9.366856491,3.665607168,0.036119123,0.001105554,0.099465985,-0.238932982,-0.204242125,0.344937926,1.136266084,-1.260589181,-1.227859533,0,0,0,0,0,0,0,34.5,35.75,37.8125,40.9375,43,42.9375,0.627781,7,253,253,253,253,253,253,1,0.057460841,9.844957352,0.555454791,0,1,0,47.80241776,47.89913559,0.764269292,47.69959641,47.57059479,47.81425476,47.57059479,47.82859039,47.52759933,0,1,1.07,0,0,0.058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2021:10:05:12:08:18.802187,1550310.21,-0.917851,-1.433179,-1.552817,2.963919,0.713351,12.626745,0,0,0,0,0,0,0,0,0,0,0,0,-5.78E-18,0.48606196,0.957276823,-0.346040962,0.008134192,0,-6.12E-17,5.263230133,7.248699694,-1.2459858,0.030898034,0,-0.917958562,-1.433155136,-1.552876353,2.96381156,0.713314652,12.62670866,0.000347956,0,0.00162605,-1.08E-26,0.000338195,6.19E-05,0.186856747,0.319126904,1.129606843,-0.191219628,0.121524215,0.112812236,-5.78E-18,0.48606196,0.957276823,-0.346040962,0.008134192,0,-0.238965364,-0.204212237,0.344952472,1.136275405,-1.260504382,-1.228062508,0.00012399,-6.38E-05,8.24E-05,-0.001355693,-0.000981482,1.11E-05,-76.26875133,9.767708947,3.925233132,0.036901187,0.005419596,0.084283693,-0.238932982,-0.204242125,0.344937926,1.136266084,-1.260589181,-1.227859533,0,0,0,0,0,0,0,34.5,35.75,37.875,40.9375,43,42.9375,0.730644,7,253,253,253,253,253,253,1,0.229843363,9.634267807,0.344765037,0,1,0,47.82211685,47.91884232,0.766510427,47.69959641,47.59926605,47.82859039,47.58493042,47.84292221,47.54193115,0,1,1.07,0,0,0.058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2021:10:05:12:08:18.842338,1550310.25,-0.917851,-1.433179,-1.552817,2.963919,0.713351,12.626745,0,0,0,0,0,0,0,0,0,0,0,0,9.78E-18,0.486028094,0.957296536,-0.345963862,0.008085963,0,1.04E-16,5.262863412,7.248848958,-1.245708187,0.030714836,0,-0.917910401,-1.433167056,-1.552792668,2.963859721,0.713278711,12.62673248,0.000677734,0,0.000965617,0.000365558,0.000478121,1.01E-06,0.245587915,0.285231948,1.147435546,-0.170022041,0.146665245,0.10384465,9.78E-18,0.486028094,0.957296536,-0.345963862,0.008085963,0,-0.238949798,-0.204240625,0.344948568,1.136286429,-1.260555943,-1.227879413,0.000192074,-0.000107381,-8.63E-06,-0.001063389,-0.00080255,0.000200847,-76.28853799,9.706593559,3.741934374,0.035664246,0.005489968,0.0875858,-0.238932982,-0.204242125,0.344937926,1.136266084,-1.260589181,-1.227859533,0,0,0,0,0,0,0,34.5,35.75,37.875,40.9375,43,42.9375,0.596352,7,253,253,253,253,253,253,1,0.210689753,9.730035782,0.421379507,0,1,0,47.80509949,47.8919754,0.775459051,47.71392822,47.61359787,47.82859039,47.57059479,47.82859039,47.52759933,0,1,1.07,0,0,0.058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
